Year,Division,Department,Name,Post,Diss_Title,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HENRY LEON COX,"Research Chemist, Carbide and Carbon Chemicals Corp., Charleston, W.Va.",Some Derivatives of Linolic Acid.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LILLIAN V. EICHELBERGER,"(Mrs. Ralph Cannon), Research Chemist, University of Chicago Clinics, Chicago, Ill.",The Transmutation of Maleic to Fumaric Acid.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,AARON FELDMAN,"Chemical Research Fellow, Montefiore Hospital, New York, N.Y.",The Spreading Coefficient: A Study of the Spreading Properties of Some Organic Liquids.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LEO FINKELSTEIN,"Research Chemist, Chemical Warfare Service, Edgewood Arsenal, Edgewood, Md.",I. Determination of Radium in Meteorites by the Emanation Method. II. Measurement of Ranges of Alpha Particles by a Modified Bragg Apparatus.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,AUBREY CHESTER GRUBB,"Professor of Chemistry, University of Saskatchewan, Saskatoon, Sask., Canada.",Chemical Reactions in the Corona.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,MARTIN CHARLES EDWARD HANKE,"Assistant Professor of Physiological Chemistry, University of Chicago, Chicago, Ill.",An Attempt to Prepare a Mercury Derivative of Dioxydiaminoarsenobenzene (Arsphenamine).,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ANSON HAYES,"Director of Metallurgical Research, American Rolling Mill Co., Middletown, Ohio.",Separation of the Element Chlorine into Isotopes.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,VESTUS TWIGGS JACKSON,"Associate Professor of Chemistry, University of Florida, Gainesville, Fla.","The Reaction between Potassium Hydroxide, Manganese Dioxide and Oxygen. ISADORE MEYER JACOBSOHN, Chief Chemist, Coe Laboratories, Chicago, Ill.",,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ALFRED EDWARD JURIST,"Research Chemist, Squibb and Sons, Brooklyn, N.Y.",A Rearrangement of the Benzilic Acid Type in the Aliphatic Series.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ROBERT STERN LANDAUER,"Research Department, Standard X-Ray Company, Chicago, Ill.",Triatomic Hydrogen.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,KATHARINE LUCILLE MCCLUSKEY,"(Mrs. C. D. Lambird), Research Chemist, Municipal Tuberculosis Sanitarium, Chicago, Ill.",Some New Derivatives of Quinaldine.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,CLARENCE JOHN MONROE,"Assistant Professor of Chemistry, School of Mines, Rolla, Mo.",On the Relation of the Compressibility of a Liquid and Its Adsorption and Absorption by Charcoal.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ROBERT SANDERSON MULLIKEN,"Associate Professor of Physics, University of Chicago, Chicago, Ill.",I. The Separation of Isotopes. Theory of the Resolution of Isotopic Mixtures by Diffusion and Similar Processes; Experimental Separation of Mercury by Evaporation in a Vacuum. II. The Effect of Acids and Bases on Interfacial Tension.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JOSEPH JAROSLAV PELC,"2232 South Kedzie Ave., Chicago, Ill.",Molecular Rearrangements in Some Derivatives of Unsaturated Higher Fatty Acids.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,GEORGE ROSS ROBERTSON,"Associate Professor of Chemistry, University of California, Southern Branch, Los Angeles, Calif.",Organic Derivatives of Arsenic.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,FRANK V. SANDER,"Research Chemist, Johnson and Johnson, 64 Lawrence Avenue, New Brunswick, N.J.","Preparation and Resolution of d1-1.3, Dihydroxybutyric Acid.",,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JAMES HOLLINGSWORTH CLEMMER SMITH,"Acting Director, Laboratory for Plant Biology, Carnegie Institution of Washington, Stanford University, Calif.",I.Estimation of Sodium Hyposulphite. II. Arsenic Derivatives of Phenylaminoacetic Acid.,,,,,,,,,,,
1921,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,EDGAR WERTHEIM,"Associate Professor of Chemistry, University of Arkansas, Fayetteville, Ark.",Preparation of dl-p-Secondary Butyl Phenylhydrazine. di-p-Secondary Butyl Aniline. Resolution of 1922,,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,SAMUEL KING ALLISON,"Associate Professor of Physics, University of Chicago, Chicago, Ill.","Atomic Stability, III. The Effects of Electrical Discharges and High Temperatures.",,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,CHARLES NEIL CAMERON.,"(Died November 28, 1929.)","The Preparation of Optically Active Hydrazines, III. The Preparation of p ""Active amyl""-Phenylhydrazine.",,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,MARION GABRIEL FRANK,"Research Department, Erwin, Wasey & Co., Graybar Building, New York, N.Y.",Experiments to Prepare Mercurized Derivatives of Methylene Blue.,,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LESLIE HELLERMAN,"Associate in Physiological Chemistry, Johns Hopkins University Medical School, Baltimore, Md.",A Study of the Molecular Rearrangements of Halogenamine Derivatives in Anhydrous Media.,,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ARCHIBALD TURNER MCPHERSON,"Senior Scientist, Chief of Rubber Section, Bureau of Standards, Washington, D.C.",The Electromerism of Bromine Chloride.,,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,SAMUEL LEO MADORSKY,"Research Chemist, Nitrogen Fixation Laboratory, Washington, D.C.",I. The Separation of Mercury into Isotopes in a Large Apparatus. II. A Graphical Study of the Stability Relations of Atom Nuclei.,,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLIAM LAMKIN RAY,"Professor of Chemistry, Texas Technological College, Lubbock, Tex.",Positive Halogens: Positive Iodine in Iodomesitylene. Positive Bromine and Iodine in Derivatives of Paranitraniline and of Paraphenylenediamine.,,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ROGER WILLIAM RYAN,"Research Chemist, Consolidated Gas Company of New York, Astoria, Long Island, N.Y.",A Method of Photographing the Disintegration of Atoms and a New Type of Ray.,,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,"JOHN RICHARD SAMPEY, JR.","Professor and Head of the Department of Chemistry, Howard College, Birmingham, Ala.",Positive Halogens: 4-Iodometaphenylenediamine and 4-Iodoresorcinol.,,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LEO PRENTISS SHERMAN,"Professor and Head of the Department of Chemistry, Grinnell College, Grinnell, Iowa.","The C-Saccharinic Acids. III. The Preparation of dl-1, 2-DihydroxyIso-Butyric Acid and a Study of Some of the Derivatives.",,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,MARY LURA SHERRILL,"Associate Professor of Chemistry, Mt. Holyoke College, South Hadley, Mass.",I. The Reaction of Bromo-Nitro-Methane with Aromatic Compounds in the Presence of Aluminium Chloride-A Case of Electromerism Acid. II. The Preparation of Pure Methylene-Di-Salicylic.,,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,MARK WATKINS TAPLEY,"Assistant to the General Superintendent, Squibb and Sons, Brooklyn, N.Y.",The Absorption Spectra of Halogenoplatinates. A Method of Preparation of the Double Fluorides of the Platinum Group Metals.,,,,,,,,,,,
1923,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,EDWARD STAUNTON WEST,"Associate Professor of Biological Chemistry, Washington University Medical School, St. Louis, Mo.",The Molecular Rearrangement of Symmetrical Bis-Triphenylmethylhydrazine and Triphenylmethylhydrazine.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LOUIS JACOB BIRCHER,"Professor of Physical Chemistry, Vanderbilt University, Nashville, Tenn.",Different Types of Overvoltage and the Temperature Effect. The Effect of Pressure on Overvoltage.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,EDWARD DONALD CAMPBELL,"Research Chemist, Eli Lilly & Co., Indianapolis, Ind.",Benzol Condensation Products of Creatinines.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,CHANG KONG CHUANG,"Professor and Head of the Department of Chemistry, Northeastern University, Mukden, China.",Stereoisomeric Hydrazones RR'C:N.NH2.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JOHN WILLARD HERSHEY,"Professor of Chemistry, McPherson College, McPherson, Kan.","I. Transference Numbers of the Formates of Sodium, Potassium, and Lithium in Anhydrous Formic Acid. II. The Effect of Salts upon the Solubility of Other Salts-The Solubility of Uni-Univalent Salts in Solution of Uni-Univalent Salts.",,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HARRIS HAZEN HOPKINS,"Research Chemist, Mid-Continent Petroleum Corporation, Tulsa, Okla.",The Optically Active Acid Chlorides.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HARRY VICTOR HUME,"Research Chemist, Atlantic Refining Company, Philadelphia, Pa.",Positive Halogens: 2and 3-Iodo-4-Methylphenyl Trimethyl Ammonium Chlorides.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,BARCLAY LINCOLN JONES,"Principal, Friends' Central School, Overbrook, Pa.",Derivatives of Nile Blue A. On the Mercurization of Nile Blue A.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ERNEST BAKER KEITH,"Assistant Professor of Chemistry, Kansas State Agricultural College, Manhattan, Kan.",A Theory of Emulsions as Produced by Films of Oriented Molecules.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,MARGARET WILLCOX MCPHERSON,"(Mrs. Archibald T.), Kensington, Md.",Derivatives of Phenyl Butyric Acid.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,KARL STONE MEANS,"Professor of Chemistry, Butler College, Indianapolis, Ind.",A Study of the Velocity Coefficient for the Saponification of Ethyl Formate.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HOWARD ROSWALD MOORE,"Research Chemist, Celanese Corporation of America, Cumberland, Md.",The Photochemical Activation of a Mercury Surface. A Possible Relation between Photoelectric Effect and Photochemical Action.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ROY CHESTER NEWTON,"Research Chemist, Swift & Company, Chicago, Ill.",Interhalogen Replacement in Halogeno Acetone.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,REUBEN BENJAMIN SANDIN,"Associate Professor of Chemistry, University of Alberta, Edmonton, Alberta, Canada.",Positive Halogens in Derivatives of 2-Iodo-4-Aminotoluene.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HAYWARD MERRIAM SEVERANCE,"Instructor, Oregon State Agricultural College, Corvallis, Ore.",Studies in Nitration Catalysis. I. The Nitration of Benzoic Acid in Acetic Acid Solution.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,DONALD RAYMOND STEVENS,"Research Chemist, Mellon Institute of Industrial Research, University of Pittsburgh, Pittsburgh, Pa.",Alcoholysis and Hydrolysis of Alkyl Halides.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,FRANCIS HENRY THURBER,"Oregon Agricultural College, Corvallis, Ore.",The Optically Active p-Trimethylethyl-phenylhydrazines. The Usefulness of These Compounds as Resolving Agents.,,,,,,,,,,,
1924,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HENRIETTA LYDIA ZOLLMAN,"(Mrs. Benjamin B. Freud), 1242 Rosedale Avenue, Chicago, Ill.",I. Interfacial Tension and Emulsification and Extremely Small Interfacial Tensions; II. The Electron Affinity of Iodine and Bromine.,,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLIAM GUSTAV FRIEDEMANN,"Research Chemist, Shell Petroleum Co., East Chicago, Ind.","I. The Velocity of Saponification of Methyl Formate at 25° C. II. The Hydrolysis of Sodium Cyanide, Potassium Cyanide, and Barium Asparaginate at 25° C.",,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WILLIAM GEORGE GUY,"Professor of Chemistry, College of William and Mary, Williamsburg, Va.",The Radioactivity of the Lighter Elements.,,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,FRANCIS ARTHUR JENKINS,"Assistant Professor of Physics, New York University, New York, N.Y.",The Separation of the Element Chlorine into Isotopes (Isotopic Elements)— The Light Fraction.,,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,GLADYS LEAVELL,"900 19th Street, N.W., Washington, D.C.","The C-Saccharinic Acids, IV. Further Studies in the Preparation of 2-, 3-Dihydroxybutyric Acid.",,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ISRAEL MORRIS LEVINE,"Research Chemist, Universal Oil Products Company, Chicago, Ill.",The Mercuration of Neutral Red and Its Sulphonic Acid.,,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,CLARA MARIE DE MILT,"Professor and Head of the Department of Chemistry, Newcomb College, Tulane University, New Orleans, La.",Phenylstearic Acid.,,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JOSEPH WAYLAND MORGAN,"Assistant Professor of Chemistry, Wittenberg College, Springfield, Ohio.",Monomolecular and Polymolecular Films; The Structure of Thin Films of Alphatic and Aromatic Substances.,,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ANDREW MCNALLY NEFF,"Neff Ceramic Co., Pasadena, Calif.",The Preparation and Rearrangement of Methyldiphenyl-methyldichloroamine.,,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,THOMAS WILLIAM RAY,"Assistant Professor of Chemistry, School of Medicine, Marquette University, Milwaukee, Wis.",A Study of Different Methods of Preparation of Phenylethylmolonic Dimethyl Ester.,,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LOUIS SATTLER,"Instructor in Chemistry, Brooklyn College of the City of New York, Brooklyn, N.Y.",The Cyclopropane Ring. Some Factors Affecting Its Stability.,,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,GEORGE EDWARD SPIETH,"Professor of Chemistry, Hillsdale College, Hillsdale, Mich.","The C-Saccharinic Acids, V. The Preparation of Symmetrical DihydroxyIsobutyric Acid and a Study of Some of Its Derivatives.",,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,SAMUEL BRADFORD STONE,"Easton, Pa.",The Atomic Weight of Chlorine in Meteorites and Minerals of Non-Marine Origin.,,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ARTHUR AUGUST SUNIER,"Assistant Professor of Chemistry, University of Rochester, Rochester, N. Y.",An Attempt to Partially Separate the Isotopes of Cadmium.,,,,,,,,,,,
1925,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,RUBY KATHRYN WORNER,"Assistant Chemist, Bureau of Standards, Washington, D.C.",The Thermal Decomposition of Chloropentammine Chromic Chloride.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,LANGSTON FAIRCHILD BATE,"Professor of Chemistry, Lincoln University, Jefferson City, Mo.",Pseudo-Thiohydantoins from Some Higher Fatty Acids.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,KO CHUNG CHEN,"care of T. S. Wang, Industrial and Commercial Bank, 51 Kiangsi Road, Shanghai, China.",The Effect of Electrical Potential on the Optical Rotation of Betaines.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JOSEPH SOLOMON FRIEDMAN,"Technical Director, Wolff-Heide Photochemical Corporation, Upper Darby, Pa.",The Mercuration of Nile Blue.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,PAUL LUTHER KARL GROSS,"Assistant Professor of Chemistry, Pomona College, Pomona, Calif.",I. The Geometry of Atomic Collision Photography. II. The Determination of a Standard for Surface Tension Measurements. III. Pendent Drops.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ELBERT DUNG WUI HO,"Manufacturer, 746 Eighth Avenue, Honolulu, Hawaii.",The Action of Phenylhydrazine upon Bromohydrouracil-An Attempt to Prepare 5-Amino Hydrouracil.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WEBSTER BICE KAY,"Research Chemist, Standard Oil Company of Indiana, Whiting, Ind.",I. An Attempt to Add an Electron to the Nucleus of the Mercury Atom. II. A Powerful Electromagnet.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,MARY EUGENIE MAVER,"Research Associate, National Institute of Health, Washington, D.C.","The Preparation, Rearrangement, and Reduction of Beta Methyldiphenylmethyl Hydroxylamine.",,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,NICHOLAS ATHANASIUS MILAS,"Research Fellow, Massachusetts Institute of Technology, Cambridge, Mass.","Catalytic Oxidation of Hydroquinone and Quinone by Osmium, Tetroxide and Sodium Chlorate, and the Preparation, Properties, and Structure of a Substance ""Y"" Tentatively called 2, 3-Dihydroxy-di-hydro-p-quinone.",,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,CLEMMY OLIN MILLER,"Assistant Professor of Physiological Chemistry, Northwestern University Medical School, Chicago, Ill.",The Asymmetry of Certain Hypnotics and Its Relationship to Physiological Behavior.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,BERNARD RADCLIFFE MORTIMER,"Research Fellow, Department of Physiology, Northwestern University Medical School, Chicago, Ill.",A Further Separation of the Isotopes of Mercury by Evaporation and Diffusion.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,ESME EUGENE ROSAIRE,"Geophysical Research Corporation, 65 Broadway, New York, N.Y.",Conductivity Measurements at Audio and Intermediate Frequencies.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,DELBERT EDMUND WOBBE,"Professor of Chemistry, Iowa Wesleyan College, Mount Pleasant, Iowa.",The Thermal Decomposition of Anhydrous Oxalic Acid and Its Relation to the Photochemical Decomposition.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,SYBIL WOODRUFF,"Assistant Professor of Home Economics; Assistant Chief in Foods, Agricultural Experiment Station, Urbana, Ill.","The C4-Saccharinic Acids. VI. The Preparation of the Two dl-1, 2-Dihydroxy-butyric Acids and Some of Their Derivatives.",,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JOHN DEMETRIUS XANTHOPOULOS (John Xan),"Assistant Professor of Chemistry, Howard College, Birmingham, Ala.",Rearrangement of Stereoisomeric Hydrazones.,,,,,,,,,,,
1926,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,HOYLANDE DENUNE YOUNG,"Assistant Professor, College of Industrial Arts, Denton, Tex.",Stereoisomeric Bromoimino Ketones.,,,,,,,,,,,
1927,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,JAMES BERNARD CULBERTSON,"Professor of Chemistry, Cornell College, Mount Vernon, Iowa.",A Study of Tautomerism of Aromatic Ketimines.,,,,,,,,,,,
1927,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,MABELLE CRYSTALE DAME,"Department of Physics, Millsaps College, Jackson, Miss.",I. The Preparation and the Rearrangement of Phenyldibiphenylmethylchloroamines. II. An Attempt to Effect Rearrangement of Triphenylmethyl-6-methylhydroxylamine by Heat.,,,,,,,,,,,
1927,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,BENJAMIN BALL FREUD,"Associate Professor of Organic Chemistry, Armour Institute, Chicago, Ill.",I. The Shapes of Hanging and Detaching Drops. II. A Balance for the Measurement of Film Pressures.,,,,,,,,,,,
1927,THE DIVISION OF THE PHYSICAL SCIENCES,CHEMISTRY,WESLEY NORMAN HERR,"Instructor in Chemistry, Duluth Junior College, Duluth, Minn.",The Quantum Efficiency of the Photo-Chemical Decomposition of Anhydrous Formic Acid.,,,,,,,,,,,
